Lookup (for Uploader),Trade,Precon System,Operations System,Title,Drawing Abbreviation,Precon Tag,System Type ID,Asset Category,Equip Name ID,Sub System Type,Sub System ID,Sub System Class,Class ID,Equipment Size,Unit,Asset ID,Notes,Service ID,Service Life
FanGeneral ExhaustAxial25000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Axial,AXL,25000.0,CFM,H-FAN-GEX-AXL-25000,,HFANGEF,20
FanGeneral ExhaustAxial500,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Axial,AXL,500.0,CFM,H-FAN-GEX-AXL-500,,HFANGEF,20
FanGeneral ExhaustAxial5000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Axial,AXL,5000.0,CFM,H-FAN-GEX-AXL-5000,,HFANGEF,20
FanGeneral ExhaustAxial7500,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Axial,AXL,7500.0,CFM,H-FAN-GEX-AXL-7500,,HFANGEF,20
FanGeneral ExhaustCeiling Mounted100,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Ceiling Mounted,CLG,100.0,CFM,H-FAN-GEX-CLG-100,,HFANGEF,15
FanGeneral ExhaustCeiling Mounted1000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Ceiling Mounted,CLG,1000.0,CFM,H-FAN-GEX-CLG-1000,,HFANGEF,15
FanGeneral ExhaustCeiling Mounted2000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Ceiling Mounted,CLG,2000.0,CFM,H-FAN-GEX-CLG-2000,,HFANGEF,15
FanGeneral ExhaustCeiling Mounted250,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Ceiling Mounted,CLG,250.0,CFM,H-FAN-GEX-CLG-250,,HFANGEF,15
FanGeneral ExhaustCeiling Mounted500,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Ceiling Mounted,CLG,500.0,CFM,H-FAN-GEX-CLG-500,,HFANGEF,15
FanGeneral ExhaustCeiling Mounted750,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Ceiling Mounted,CLG,750.0,CFM,H-FAN-GEX-CLG-750,,HFANGEF,15
FanGeneral ExhaustCentrifugal1000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Centrifugal,CEN,1000.0,CFM,H-FAN-GEX-CEN-1000,,HFANGEF,25
FanGeneral ExhaustCentrifugal10000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Centrifugal,CEN,10000.0,CFM,H-FAN-GEX-CEN-10000,,HFANGEF,25
FanGeneral ExhaustCentrifugal100000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Centrifugal,CEN,100000.0,CFM,H-FAN-GEX-CEN-100000,,HFANGEF,25
FanGeneral ExhaustCentrifugal120000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Centrifugal,CEN,120000.0,CFM,H-FAN-GEX-CEN-120000,,HFANGEF,25
FanGeneral ExhaustCentrifugal15000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Centrifugal,CEN,15000.0,CFM,H-FAN-GEX-CEN-15000,,HFANGEF,25
FanGeneral ExhaustCentrifugal2000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Centrifugal,CEN,2000.0,CFM,H-FAN-GEX-CEN-2000,,HFANGEF,25
FanGeneral ExhaustCentrifugal20000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Centrifugal,CEN,20000.0,CFM,H-FAN-GEX-CEN-20000,,HFANGEF,25
FanGeneral ExhaustCentrifugal25000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Centrifugal,CEN,25000.0,CFM,H-FAN-GEX-CEN-25000,,HFANGEF,25
FanGeneral ExhaustCentrifugal30000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Centrifugal,CEN,30000.0,CFM,H-FAN-GEX-CEN-30000,,HFANGEF,25
FanGeneral ExhaustCentrifugal40000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Centrifugal,CEN,40000.0,CFM,H-FAN-GEX-CEN-40000,,HFANGEF,25
FanGeneral ExhaustCentrifugal5000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Centrifugal,CEN,5000.0,CFM,H-FAN-GEX-CEN-5000,,HFANGEF,25
FanGeneral ExhaustCentrifugal50000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Centrifugal,CEN,50000.0,CFM,H-FAN-GEX-CEN-50000,,HFANGEF,25
FanGeneral ExhaustCentrifugal60000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Centrifugal,CEN,60000.0,CFM,H-FAN-GEX-CEN-60000,,HFANGEF,25
FanGeneral ExhaustCentrifugal70000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Centrifugal,CEN,70000.0,CFM,H-FAN-GEX-CEN-70000,,HFANGEF,25
FanGeneral ExhaustCentrifugal7500,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Centrifugal,CEN,7500.0,CFM,H-FAN-GEX-CEN-7500,,HFANGEF,25
FanGeneral ExhaustCentrifugal80000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Centrifugal,CEN,80000.0,CFM,H-FAN-GEX-CEN-80000,,HFANGEF,25
FanGeneral ExhaustUpblast100,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,100.0,CFM,H-FAN-GEX-UPB-100,,HFANGEF,20
FanGeneral ExhaustUpblast1000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,1000.0,CFM,H-FAN-GEX-UPB-1000,,HFANGEF,20
FanGeneral ExhaustUpblast10000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,10000.0,CFM,H-FAN-GEX-UPB-10000,,HFANGEF,20
FanGeneral ExhaustUpblast1500,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,1500.0,CFM,H-FAN-GEX-UPB-1500,,HFANGEF,20
FanGeneral ExhaustUpblast15000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,15000.0,CFM,H-FAN-GEX-UPB-15000,,HFANGEF,20
FanGeneral ExhaustUpblast2000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,2000.0,CFM,H-FAN-GEX-UPB-2000,,HFANGEF,20
FanGeneral ExhaustUpblast20000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,20000.0,CFM,H-FAN-GEX-UPB-20000,,HFANGEF,20
FanGeneral ExhaustUpblast250,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,250.0,CFM,H-FAN-GEX-UPB-250,,HFANGEF,20
FanGeneral ExhaustUpblast2500,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,2500.0,CFM,H-FAN-GEX-UPB-2500,,HFANGEF,20
FanGeneral ExhaustUpblast3000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,3000.0,CFM,H-FAN-GEX-UPB-3000,,HFANGEF,20
FanGeneral ExhaustUpblast30000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,30000.0,CFM,H-FAN-GEX-UPB-30000,,HFANGEF,20
FanGeneral ExhaustUpblast4000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,4000.0,CFM,H-FAN-GEX-UPB-4000,,HFANGEF,20
FanGeneral ExhaustUpblast40000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,40000.0,CFM,H-FAN-GEX-UPB-40000,,HFANGEF,20
FanGeneral ExhaustUpblast500,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,500.0,CFM,H-FAN-GEX-UPB-500,,HFANGEF,20
FanGeneral ExhaustUpblast5000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,5000.0,CFM,H-FAN-GEX-UPB-5000,,HFANGEF,20
FanGeneral ExhaustUpblast50000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,50000.0,CFM,H-FAN-GEX-UPB-50000,,HFANGEF,20
FanGeneral ExhaustUpblast6000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,6000.0,CFM,H-FAN-GEX-UPB-6000,,HFANGEF,20
FanGeneral ExhaustUpblast750,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,750.0,CFM,H-FAN-GEX-UPB-750,,HFANGEF,20
FanGeneral ExhaustUpblast7500,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Upblast,UPB,7500.0,CFM,H-FAN-GEX-UPB-7500,,HFANGEF,20
FanGeneral ExhaustUtility Set1000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Utility Set,UTY,1000.0,CFM,H-FAN-GEX-UTY-1000,,HFANGEF,20
FanGeneral ExhaustUtility Set10000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Utility Set,UTY,10000.0,CFM,H-FAN-GEX-UTY-10000,,HFANGEF,20
FanGeneral ExhaustUtility Set1500,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Utility Set,UTY,1500.0,CFM,H-FAN-GEX-UTY-1500,,HFANGEF,20
FanGeneral ExhaustUtility Set15000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Utility Set,UTY,15000.0,CFM,H-FAN-GEX-UTY-15000,,HFANGEF,20
FanGeneral ExhaustUtility Set2000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Utility Set,UTY,2000.0,CFM,H-FAN-GEX-UTY-2000,,HFANGEF,20
FanGeneral ExhaustUtility Set20000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Utility Set,UTY,20000.0,CFM,H-FAN-GEX-UTY-20000,,HFANGEF,20
FanGeneral ExhaustUtility Set2500,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Utility Set,UTY,2500.0,CFM,H-FAN-GEX-UTY-2500,,HFANGEF,20
FanGeneral ExhaustUtility Set25000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Utility Set,UTY,25000.0,CFM,H-FAN-GEX-UTY-25000,,HFANGEF,20
FanGeneral ExhaustUtility Set3000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Utility Set,UTY,3000.0,CFM,H-FAN-GEX-UTY-3000,,HFANGEF,20
FanGeneral ExhaustUtility Set30000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Utility Set,UTY,30000.0,CFM,H-FAN-GEX-UTY-30000,,HFANGEF,20
FanGeneral ExhaustUtility Set4000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Utility Set,UTY,4000.0,CFM,H-FAN-GEX-UTY-4000,,HFANGEF,20
FanGeneral ExhaustUtility Set500,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Utility Set,UTY,500.0,CFM,H-FAN-GEX-UTY-500,,HFANGEF,20
FanGeneral ExhaustUtility Set5000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Utility Set,UTY,5000.0,CFM,H-FAN-GEX-UTY-5000,,HFANGEF,20
FanGeneral ExhaustUtility Set6000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Utility Set,UTY,6000.0,CFM,H-FAN-GEX-UTY-6000,,HFANGEF,20
FanGeneral ExhaustUtility Set750,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Utility Set,UTY,750.0,CFM,H-FAN-GEX-UTY-750,,HFANGEF,20
FanGeneral ExhaustUtility Set7500,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Utility Set,UTY,7500.0,CFM,H-FAN-GEX-UTY-7500,,HFANGEF,20
FanGeneral ExhaustVane Axial1000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Vane Axial,VAX,1000.0,CFM,H-FAN-GEX-VAX-1000,,HFANGEF,20
FanGeneral ExhaustVane Axial10000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Vane Axial,VAX,10000.0,CFM,H-FAN-GEX-VAX-10000,,HFANGEF,20
FanGeneral ExhaustVane Axial100000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Vane Axial,VAX,100000.0,CFM,H-FAN-GEX-VAX-100000,,HFANGEF,20
FanGeneral ExhaustVane Axial120000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Vane Axial,VAX,120000.0,CFM,H-FAN-GEX-VAX-120000,,HFANGEF,20
FanGeneral ExhaustVane Axial15000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Vane Axial,VAX,15000.0,CFM,H-FAN-GEX-VAX-15000,,HFANGEF,20
FanGeneral ExhaustVane Axial2000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Vane Axial,VAX,2000.0,CFM,H-FAN-GEX-VAX-2000,,HFANGEF,20
FanGeneral ExhaustVane Axial20000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Vane Axial,VAX,20000.0,CFM,H-FAN-GEX-VAX-20000,,HFANGEF,20
FanGeneral ExhaustVane Axial25000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Vane Axial,VAX,25000.0,CFM,H-FAN-GEX-VAX-25000,,HFANGEF,20
FanGeneral ExhaustVane Axial30000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Vane Axial,VAX,30000.0,CFM,H-FAN-GEX-VAX-30000,,HFANGEF,20
FanGeneral ExhaustVane Axial40000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Vane Axial,VAX,40000.0,CFM,H-FAN-GEX-VAX-40000,,HFANGEF,20
FanGeneral ExhaustVane Axial5000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Vane Axial,VAX,5000.0,CFM,H-FAN-GEX-VAX-5000,,HFANGEF,20
FanGeneral ExhaustVane Axial50000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Vane Axial,VAX,50000.0,CFM,H-FAN-GEX-VAX-50000,,HFANGEF,20
FanGeneral ExhaustVane Axial60000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Vane Axial,VAX,60000.0,CFM,H-FAN-GEX-VAX-60000,,HFANGEF,20
FanGeneral ExhaustVane Axial70000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Vane Axial,VAX,70000.0,CFM,H-FAN-GEX-VAX-70000,,HFANGEF,20
FanGeneral ExhaustVane Axial7500,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Vane Axial,VAX,7500.0,CFM,H-FAN-GEX-VAX-7500,,HFANGEF,20
FanGeneral ExhaustVane Axial80000,SM,SM Equipment,Fans,General Exhaust Fan,GEF,GEF,H,Fan,FAN,General Exhaust,GEX,Vane Axial,VAX,80000.0,CFM,H-FAN-GEX-VAX-80000,,HFANGEF,20
FanGrease ExhaustUpblast1000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Upblast,UPB,1000.0,CFM,H-FAN-GREX-UPB-1000,,HFANKEF,20
FanGrease ExhaustUpblast10000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Upblast,UPB,10000.0,CFM,H-FAN-GREX-UPB-10000,,HFANKEF,20
FanGrease ExhaustUpblast1500,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Upblast,UPB,1500.0,CFM,H-FAN-GREX-UPB-1500,,HFANKEF,20
FanGrease ExhaustUpblast15000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Upblast,UPB,15000.0,CFM,H-FAN-GREX-UPB-15000,,HFANKEF,20
FanGrease ExhaustUpblast2000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Upblast,UPB,2000.0,CFM,H-FAN-GREX-UPB-2000,,HFANKEF,20
FanGrease ExhaustUpblast20000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Upblast,UPB,20000.0,CFM,H-FAN-GREX-UPB-20000,,HFANKEF,20
FanGrease ExhaustUpblast250,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Upblast,UPB,250.0,CFM,H-FAN-GREX-UPB-250,,HFANKEF,20
FanGrease ExhaustUpblast2500,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Upblast,UPB,2500.0,CFM,H-FAN-GREX-UPB-2500,,HFANKEF,20
FanGrease ExhaustUpblast25000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Upblast,UPB,25000.0,CFM,H-FAN-GREX-UPB-25000,,HFANKEF,20
FanGrease ExhaustUpblast3000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Upblast,UPB,3000.0,CFM,H-FAN-GREX-UPB-3000,,HFANKEF,20
FanGrease ExhaustUpblast4000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Upblast,UPB,4000.0,CFM,H-FAN-GREX-UPB-4000,,HFANKEF,20
FanGrease ExhaustUpblast500,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Upblast,UPB,500.0,CFM,H-FAN-GREX-UPB-500,,HFANKEF,20
FanGrease ExhaustUpblast5000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Upblast,UPB,5000.0,CFM,H-FAN-GREX-UPB-5000,,HFANKEF,20
FanGrease ExhaustUpblast6000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Upblast,UPB,6000.0,CFM,H-FAN-GREX-UPB-6000,,HFANKEF,20
FanGrease ExhaustUpblast750,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Upblast,UPB,750.0,CFM,H-FAN-GREX-UPB-750,,HFANKEF,20
FanGrease ExhaustUpblast7500,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Upblast,UPB,7500.0,CFM,H-FAN-GREX-UPB-7500,,HFANKEF,20
FanGrease ExhaustUtility Set1000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Utility Set,UTY,1000.0,CFM,H-FAN-GREX-UTY-1000,,HFANKEF,20
FanGrease ExhaustUtility Set10000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Utility Set,UTY,10000.0,CFM,H-FAN-GREX-UTY-10000,,HFANKEF,20
FanGrease ExhaustUtility Set1500,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Utility Set,UTY,1500.0,CFM,H-FAN-GREX-UTY-1500,,HFANKEF,20
FanGrease ExhaustUtility Set15000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Utility Set,UTY,15000.0,CFM,H-FAN-GREX-UTY-15000,,HFANKEF,20
FanGrease ExhaustUtility Set2000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Utility Set,UTY,2000.0,CFM,H-FAN-GREX-UTY-2000,,HFANKEF,20
FanGrease ExhaustUtility Set20000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Utility Set,UTY,20000.0,CFM,H-FAN-GREX-UTY-20000,,HFANKEF,20
FanGrease ExhaustUtility Set250,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Utility Set,UTY,250.0,CFM,H-FAN-GREX-UTY-250,,HFANKEF,20
FanGrease ExhaustUtility Set2500,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Utility Set,UTY,2500.0,CFM,H-FAN-GREX-UTY-2500,,HFANKEF,20
FanGrease ExhaustUtility Set25000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Utility Set,UTY,25000.0,CFM,H-FAN-GREX-UTY-25000,,HFANKEF,20
FanGrease ExhaustUtility Set3000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Utility Set,UTY,3000.0,CFM,H-FAN-GREX-UTY-3000,,HFANKEF,20
FanGrease ExhaustUtility Set4000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Utility Set,UTY,4000.0,CFM,H-FAN-GREX-UTY-4000,,HFANKEF,20
FanGrease ExhaustUtility Set500,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Utility Set,UTY,500.0,CFM,H-FAN-GREX-UTY-500,,HFANKEF,20
FanGrease ExhaustUtility Set5000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Utility Set,UTY,5000.0,CFM,H-FAN-GREX-UTY-5000,,HFANKEF,20
FanGrease ExhaustUtility Set6000,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Utility Set,UTY,6000.0,CFM,H-FAN-GREX-UTY-6000,,HFANKEF,20
FanGrease ExhaustUtility Set750,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Utility Set,UTY,750.0,CFM,H-FAN-GREX-UTY-750,,HFANKEF,20
FanGrease ExhaustUtility Set7500,SM,SM Equipment,Fans,Grease Exhaust Fan,GREF,KEF,H,Fan,FAN,Grease Exhaust,GREX,Utility Set,UTY,7500.0,CFM,H-FAN-GREX-UTY-7500,,HFANKEF,20
FanIsolation ExhaustUtility Set1000,SM,SM Equipment,Fans,Isolation Exhaust Fan,IOEF,IOEF,H,Fan,FAN,Isolation Exhaust,IOEX,Utility Set,UTY,1000.0,CFM,H-FAN-IOEX-UTY-1000,,HFANLEF,20
FanIsolation ExhaustUtility Set10000,SM,SM Equipment,Fans,Isolation Exhaust Fan,IOEF,IOEF,H,Fan,FAN,Isolation Exhaust,IOEX,Utility Set,UTY,10000.0,CFM,H-FAN-IOEX-UTY-10000,,HFANLEF,20
FanIsolation ExhaustUtility Set1500,SM,SM Equipment,Fans,Isolation Exhaust Fan,IOEF,IOEF,H,Fan,FAN,Isolation Exhaust,IOEX,Utility Set,UTY,1500.0,CFM,H-FAN-IOEX-UTY-1500,,HFANLEF,20
FanIsolation ExhaustUtility Set15000,SM,SM Equipment,Fans,Isolation Exhaust Fan,IOEF,IOEF,H,Fan,FAN,Isolation Exhaust,IOEX,Utility Set,UTY,15000.0,CFM,H-FAN-IOEX-UTY-15000,,HFANLEF,20
FanIsolation ExhaustUtility Set2000,SM,SM Equipment,Fans,Isolation Exhaust Fan,IOEF,IOEF,H,Fan,FAN,Isolation Exhaust,IOEX,Utility Set,UTY,2000.0,CFM,H-FAN-IOEX-UTY-2000,,HFANLEF,20
FanIsolation ExhaustUtility Set20000,SM,SM Equipment,Fans,Isolation Exhaust Fan,IOEF,IOEF,H,Fan,FAN,Isolation Exhaust,IOEX,Utility Set,UTY,20000.0,CFM,H-FAN-IOEX-UTY-20000,,HFANLEF,20
FanIsolation ExhaustUtility Set2500,SM,SM Equipment,Fans,Isolation Exhaust Fan,IOEF,IOEF,H,Fan,FAN,Isolation Exhaust,IOEX,Utility Set,UTY,2500.0,CFM,H-FAN-IOEX-UTY-2500,,HFANLEF,20
