Unnamed: 0,D20,D20 - PLUMBING,D20 - PLUMBING.1
,D4010905,"Fire Pump, Electric Motor Driven","D4010905 - FIRE PUMP, ELECTRIC MOTOR DRIVEN"
,D4010906,"Fire Pump, Engine Driven","D4010906 - FIRE PUMP, ENGINE DRIVIEN"
,D4010907,Jockey Pump,D4010907 - JOCKEY PUMP
,D4010908,Air Compressor,D4010908 - AIR COMPRESSOR
,D4020,D4020 - STANDPIPES,D4020 - STANDPIPES
,D4020310,Riser,D4020310 - RISER
,D4030,D4030 - FIRE PROTECTION SPECIALTIES,D4030 - FIRE PROTECTION SPECIALTIES
,D4090,D4090 - OTHER FIRE PROTECTION SYSTEMS,D4090 - OTHER FIRE PROTECTION SYSTEMS
,D4090901,Carbon Dioxide Extinguishing Syt,D4090901 - CARBON DIOXIDE EXTINGUISHING SYS
,D4090902,Hood Fire Protection,D4090902 - HOOD FIRE PROTECTION
,D4090903,Backflow Preventer,D4090903 - BACKFLOW PREVENTER
,D4090904,Fire Pumps,D4090904 - FIRE PUMPS
,D4090920,Clean Agent Extinguishing Systems,D4090920 - CLEAN AGENT EXTINGUISHING SYSTEM
,D50,nan,D50 - ELECTRICAL
,D5010,nan,D5010 - ELECTRICAL SERVICE & DISTRIBUTION
,D5010120,nan,D5010120 - ELECTRICAL SERVICE
,D5010240,nan,D5010240 - SWITCHGEAR
,D5010901,nan,D5010901 - TRANSFER SWITCH
,D5010902,nan,D5010902 - TRANSFORMER
,D5010903,nan,D5010903 - MOTOR CONTROL CENTER
,D5010905,nan,D5010905 - CAPACITOR BANK
,D5010906,nan,D5010906 - PANELBOARDS
,D5020,nan,D5020 - LIGHTING & BRANCH WIRING
,D5020120,nan,D5020120 - ELECTRICAL DISTRIBUTION
,D5020248,nan,"D5020248 - INTERIOR LIGHTING, FLUORECENT"
,D5020250,nan,"D5020250 - INTERIOR LIGHTING, INCANDESCENT"
,D5020252,nan,"D5020252 - INTERIOR LIGHTING, HIGH INT"
,D5020901,nan,D5020901 - EXIT LIGHTING
,D5020902,nan,D5020902 - EXPLOSION PROOF LIGHTING
,D5020903,nan,D5020903 - EXTERIOR LIGHTING
,D5030,nan,D5030 - COMMUNICATION AND SECURITY
,D5030910,nan,D5030910 - COMMUNICATION/ALARM SYSTEMS
,D5030911,nan,D5030911 - FIRE ALARM CONTROL PANEL & ALARM SYSTEM
,D5030930,nan,D5030930 - MASTER BOX
,D5090,nan,D5090 - OTHER ELECTRICAL SYSTEMS
,D5090210,nan,D5090210 - GENERATORS
